ExampleA	ExampleA
Reference pedigree	Family tree
0.0303777	12.5723
0.0302964	12.4928
0.0298704	12.4296
0.029639	12.3466
0.0295803	12.3068
0.0295212	12.1779
0.0293649	12.1452
0.0293592	11.9599
0.0292177	11.8956
0.0290867	11.8902
0.0288444	11.8512
0.0288316	11.7945
0.0287227	11.7729
0.0284905	11.736
0.0284525	11.7084
0.0284186	11.6967
0.0282186	11.6921
0.0277571	11.6425
0.02758	11.6349
0.0275582	11.5891
0.0275301	11.5606
0.027397	11.5377
0.0273496	11.4907
0.0271317	11.4146
0.0270583	11.337
0.0268617	11.3367
0.0267374	11.2509
0.0264548	11.018
0.0262542	10.8713
0.0260853	10.7733
0.0260436	10.6113
0.0259653	10.5632
0.025766	10.5305
0.025533	10.4563
0.0253704	10.3938
0.0252245	10.3203
0.0251102	10.18
0.0247819	10.0874
0.0247002	10.063
0.0246095	9.94209
0.0246074	9.88175
0.0244063	9.6587
0.0243377	9.48909
0.024156	9.43528
0.0240871	9.35141
0.0239433	9.28334
0.0238067	9.19315
0.0237446	8.99765
0.023673	8.96844
0.0235355	8.77083
0.0235125	8.69438
0.0234135	8.66764
0.0232465	8.55429
0.023242	8.54969
0.023219	8.54823
0.0229492	8.48001
0.0227803	8.44883
0.0227546	8.42313
0.0225992	8.38164
0.022346	8.37477
0.0221181	8.3258
0.0220075	8.26538
0.021941	8.22139
0.0219226	8.18035
0.0219029	8.16293
0.021548	8.05266
0.0213882	8.03324
0.0213855	7.99374
0.0213169	7.87007
0.0211578	7.85012
0.0207933	7.80577
0.0206132	7.64769
0.0205465	7.62433
0.0205154	7.56814
0.0204498	7.53765
0.0204456	7.53379
0.0203987	7.50145
0.0203841	7.3034
0.0201267	7.2969
0.0201037	7.25192
0.0201019	7.20563
0.0200622	7.18249
0.019986	7.09306
0.0196338	7.0488
0.0194468	6.96072
0.0193882	6.91603
0.0193202	6.87085
0.0191446	6.81572
0.0191339	6.80373
0.0191148	6.79832
0.0188341	6.74307
0.0187118	6.74161
0.0186046	6.72436
0.0183737	6.71856
0.0183217	6.56428
0.018296	6.36214
0.0181668	6.32786
0.018079	6.29322
0.0180613	6.25355
0.0178454	6.18067
0.0178254	6.17252
0.0175862	6.03468
0.0173815	5.99974
0.0171332	5.97942
0.0171064	5.91258
0.0170858	5.75096
0.0170249	5.66667
0.0168931	5.66378
0.0167637	5.58876
0.0167602	5.58194
0.0166834	5.56764
0.0166407	5.56749
0.0166139	5.55397
0.0166134	5.51752
0.0165679	5.42607
0.0165405	5.41948
0.0163652	5.37127
0.0161793	5.33006
0.0161128	5.32486
0.0158952	5.25844
0.0158595	5.16914
0.0157688	5.14143
0.0157388	4.99833
0.0157328	4.99821
0.015698	4.98532
0.015254	4.95149
0.0150748	4.92997
0.0149692	4.91533
0.0149037	4.76642
0.0148597	4.72273
0.0148156	4.68326
0.0148126	4.66779
