Ejemplo_TP	Ejemplo_RP
162.692	3.28912
162.681	3.27115
162.639	3.27047
162.067	3.25992
161.764	3.25826
161.17	3.25276
161.04	3.25172
160.454	3.23253
160.337	3.22119
160.126	3.20988
159.939	3.20942
159.157	3.2094
159.058	3.20177
158.864	3.19959
158.828	3.19082
158.274	3.1851
157.8	3.16464
157.711	3.1607
157.335	3.15154
157.333	3.14626
156.831	3.14156
156.097	3.13585
155.823	3.12843
155.76	3.12418
155.687	3.11799
155.664	3.10504
155.606	3.10391
155.429	3.09749
155.226	3.09565
154.885	3.09343
154.634	3.08912
154.569	3.08539
154.543	3.07222
154.266	3.05019
154.197	3.05016
153.778	3.04846
153.455	3.04598
153.399	3.04371
153.21	3.04305
153.187	3.03168
152.735	3.02478
152.319	3.02477
152.288	3.02449
152.083	3.02425
151.572	3.02048
151.565	3.01993
150.906	3.01873
150.878	3.01735
150.694	3.00378
150.575	3.00348
150.536	3.00097
150.391	2.99568
150.24	2.99434
150.174	2.99259
149.204	2.99126
148.693	2.9816
148.676	2.98073
148.112	2.97962
147.969	2.97834
147.602	2.97692
147.098	2.9739
147.069	2.97376
146.795	2.96805
146.532	2.9656
146.404	2.96539
146.267	2.96076
146.139	2.95333
145.895	2.94503
145.716	2.94479
145.672	2.92769
145.668	2.92517
145.494	2.91635
145.258	2.91217
145.182	2.90359
145.176	2.89735
144.829	2.89562
144.815	2.89246
144.688	2.89116
144.098	2.89111
143.766	2.88861
143.521	2.88601
143.304	2.88457
142.254	2.88164
142.225	2.87628
142.222	2.87549
142.161	2.86684
141.983	2.86625
141.688	2.85759
141.534	2.84997
141.512	2.84976
141.023	2.84745
140.874	2.84263
140.838	2.84107
140.825	2.83888
140.7	2.83845
140.564	2.83817
140.098	2.83216
139.781	2.83048
139.693	2.82645
139.533	2.82256
139.396	2.81981
138.673	2.80901
138.667	2.78864
138.275	2.77966
138.108	2.77307
138.058	2.76799
137.89	2.76531
137.699	2.76131
137.619	2.75954
137.603	2.75843
137.545	2.74985
137.476	2.74963
136.823	2.74834
136.631	2.7416
136.516	2.7343
136.219	2.73118
135.986	2.7304
135.634	2.73012
135.569	2.71889
135.004	2.71848
134.963	2.71194
134.901	2.70045
134.646	2.69718
134.499	2.69426
134.185	2.68449
134.153	2.6794
133.663	2.67876
133.642	2.67817
132.655	2.67412
132.624	2.66622
132.262	2.66415
132.259	2.65461
132.226	2.64847
131.916	2.64826
131.913	2.64696
131.821	2.64514
131.233	2.64134
131.126	2.64089
130.908	2.63394
130.889	2.63323
130.603	2.63309
130.35	2.63043
130.27	2.62437
130.17	2.62304
130.098	2.61964
129.798	2.61318
129.715	2.61297
129.623	2.60926
128.605	2.60505
128.462	2.60215
128.281	2.60183
128.046	2.60144
127.962	2.59947
127.946	2.59825
127.824	2.59802
127.433	2.59445
127.431	2.58521
127.408	2.58003
127.163	2.57684
126.458	2.5767
126.376	2.57656
126.165	2.57154
126.035	2.55825
125.903	2.55742
125.658	2.55495
125.605	2.55094
125.496	2.54886
125.362	2.54862
125.121	2.54846
124.773	2.54052
124.765	2.53795
124.58	2.5376
124.454	2.53551
124.397	2.53275
124.336	2.53136
124.301	2.52534
124.237	2.5232
123.875	2.52055
123.866	2.51648
123.443	2.5129
123.288	2.512
123.251	2.50718
123.091	2.50522
123.028	2.50502
122.967	2.50309
122.926	2.49729
122.415	2.49588
121.935	2.49573
121.669	2.48973
121.53	2.48642
121.29	2.48591
120.868	2.4801
120.685	2.47563
120.507	2.47387
120.318	2.47125
120.17	2.46776
119.437	2.46597
119.387	2.46209
119.282	2.46199
118.927	2.4601
118.83	2.45492
118.803	2.45165
118.628	2.44969
118.565	2.44917
118.38	2.44765
118.015	2.44705
117.732	2.44691
117.056	2.43955
116.836	2.43544
116.702	2.43466
116.497	2.43421
116.488	2.43298
116.321	2.42674
116.158	2.42418
116.082	2.42047
115.996	2.41692
115.897	2.41083
115.579	2.40337
115.276	2.40067
115.131	2.39639
115.086	2.37934
114.901	2.37421
114.796	2.37355
114.338	2.37253
114.269	2.37152
114.266	2.36774
114.231	2.36768
114.11	2.36767
114.079	2.36585
114.04	2.36325
113.003	2.36288
112.903	2.3599
112.9	2.35795
112.602	2.35646
112.549	2.35601
112.46	2.35424
112.169	2.35208
111.931	2.3459
111.695	2.34427
111.69	2.34322
111.638	2.33974
111.071	2.33753
110.823	2.33739
110.748	2.33654
110.692	2.33563
110.533	2.33297
110.476	2.31908
110.144	2.31781
110.123	2.3162
109.959	2.31166
109.863	2.31015
109.465	2.3053
109.207	2.30495
109.19	2.30099
108.865	2.29904
108.652	2.29464
108.55	2.29243
108.534	2.29128
108.515	2.28861
108.461	2.28787
108.326	2.28733
107.819	2.28157
107.753	2.28132
107.732	2.27494
107.722	2.27368
107.477	2.26912
107.464	2.26224
107.266	2.2589
107.178	2.25426
106.838	2.24877
106.229	2.24685
106.042	2.24633
105.877	2.24075
105.839	2.23845
105.771	2.23686
105.608	2.23264
105.223	2.23169
105.168	2.22253
104.697	2.22191
104.653	2.22109
104.65	2.21566
104.35	2.21398
104.291	2.21242
104.289	2.20959
103.975	2.20421
103.938	2.19851
103.834	2.19707
103.799	2.19392
103.425	2.19197
103.39	2.18688
103.209	2.18308
103.141	2.18209
103.004	2.17521
102.982	2.17343
102.81	2.16782
102.501	2.16711
102.339	2.16535
102.224	2.16311
101.834	2.1607
101.382	2.15895
101.125	2.15764
101.008	2.15526
100.631	2.15481
100.201	2.15458
100.132	2.15408
100.111	2.15396
99.9458	2.15219
99.8899	2.15216
99.8571	2.15104
99.1522	2.15055
99.0797	2.14843
99.029	2.14721
98.8991	2.14666
98.7209	2.13808
98.6832	2.13735
98.4823	2.13636
98.3731	2.1333
97.7494	2.12689
97.2719	2.12573
97.2091	2.12412
97.1452	2.12193
97.0813	2.12153
96.7931	2.108
96.7875	2.10774
96.6979	2.10543
96.6736	2.10441
96.2259	2.10342
96.1435	2.10306
96.0078	2.10093
95.6043	2.09335
95.4909	2.09035
95.4035	2.08799
95.3983	2.08556
95.3774	2.08325
95.2071	2.0804
95.0174	2.0781
94.9074	2.07366
94.7424	2.07267
94.6109	2.07101
94.4598	2.06802
94.3725	2.06637
94.3157	2.06481
94.1644	2.06459
94.0129	2.0609
93.9096	2.05911
93.8897	2.0584
93.8857	2.05542
93.7635	2.05532
93.6107	2.05519
93.2858	2.0487
93.073	2.04716
92.9504	2.04644
92.9246	2.03955
92.9073	2.03766
92.7561	2.03242
92.5639	2.03129
92.5431	2.0309
92.5014	2.02848
92.4315	2.02359
92.4132	2.01985
92.253	2.01577
92.0149	2.01547
91.9381	2.01475
91.8639	2.01134
91.8578	2.01049
91.8054	2.00825
91.7766	2.00747
91.3961	2.00382
91.3249	2.00291
91.2178	2.00094
91.0088	2.00074
90.8374	1.99931
90.7956	1.99902
90.771	1.99324
90.6696	1.98866
90.4771	1.98647
90.3126	1.98539
90.3074	1.98421
90.298	1.98236
90.2861	1.97819
90.1483	1.97717
90.1289	1.97486
89.7646	1.97381
89.7331	1.97357
89.5893	1.9705
89.5761	1.9693
89.4306	1.96903
89.1886	1.9682
89.0738	1.96803
88.9143	1.9619
88.8522	1.95683
88.8323	1.95563
88.7894	1.9546
88.743	1.9511
88.5934	1.95046
88.5418	1.94998
88.4155	1.94874
88.3887	1.9481
88.275	1.94784
88.2533	1.94415
88.1902	1.94154
88.0888	1.94039
88.0105	1.93758
87.9457	1.93704
87.774	1.93286
87.7155	1.93194
87.2909	1.92823
87.1038	1.92744
86.8123	1.92733
86.7084	1.92622
86.4107	1.92572
86.3502	1.91974
86.2469	1.91947
86.1949	1.91738
86.1593	1.91722
86.0889	1.91528
85.8496	1.91469
85.8396	1.91335
85.8166	1.91295
85.6737	1.91211
