ExampleB	ExampleB
Reference Pedigree	Family tree
1.32475	105.049
1.32385	104.896
1.32342	104.779
1.32318	104.409
1.31826	104.103
1.31759	104.023
1.31605	103.888
1.31534	103.801
1.31477	103.775
1.31329	103.77
1.31326	103.65
1.31115	103.601
1.31111	103.501
1.3109	103.197
1.31019	102.819
1.3096	102.758
1.30807	102.678
1.3077	102.635
1.30494	102.228
1.30205	102.053
1.30121	102.007
1.29848	101.897
1.29767	101.836
1.2975	101.294
1.29694	101.288
1.29672	101.219
1.29495	101.182
1.29426	101.071
1.2942	100.973
1.2932	100.791
1.29113	100.721
1.28901	100.552
1.288	100.433
1.28718	100.325
1.2865	100.215
1.28508	100.176
1.28479	100.084
1.2838	100.064
1.28351	99.9165
1.28233	99.8423
1.28223	99.755
1.28019	99.6772
1.27984	99.5966
1.27937	99.5387
1.27928	99.2588
1.27815	99.2161
1.27782	99.1992
1.27744	98.8419
1.2769	98.8397
1.2754	98.4947
1.27535	97.9357
1.27525	97.9125
1.27498	97.8984
1.27488	97.859
1.27314	97.8105
1.27278	97.6753
1.27205	97.2735
1.27055	97.2288
1.26927	97.0232
1.26901	96.9595
1.2688	96.9458
1.26838	96.7389
1.26615	96.4057
1.26239	96.3548
1.26135	96.3026
1.26099	95.899
1.2609	95.8134
1.26078	95.806
1.26071	95.6088
1.25796	95.5303
1.25667	95.4732
1.25632	95.4275
1.25556	95.2879
1.2546	95.2815
1.25297	95.0656
1.25136	95.0575
1.25038	95.0437
1.24956	94.4207
1.24955	94.4145
1.24719	94.4002
1.2468	94.1277
1.24368	94.0951
1.24303	94.0379
1.24285	94.0282
1.24251	93.7863
1.23799	93.733
1.23751	93.73
1.23643	93.7072
1.23511	93.6196
1.23494	93.5382
1.23491	93.4092
1.23329	93.3362
1.23285	93.2687
1.23141	93.2436
1.23089	93.0526
1.23083	93.0024
1.22813	92.5385
1.22786	92.2874
1.22726	92.2299
1.22713	92.1922
1.22706	92.1814
1.22489	92.0631
1.22414	91.7853
1.22305	91.7279
1.22252	91.6003
1.22227	91.5402
1.22217	91.1256
1.22208	90.861
1.22189	90.5737
1.22148	90.5226
1.22139	90.4856
1.22129	90.1499
1.21634	90.0987
1.21556	89.4999
1.21504	89.4689
1.21468	89.316
1.21443	88.9588
1.21402	88.6699
1.21402	88.6337
1.21378	88.5822
1.21258	88.4862
1.2125	88.3788
