ExampleD	ExampleD
Reference Pedigree	Family tree
0.0162575	12534200
0.0161928	12518300
0.0160665	12507900
0.0160173	12497800
0.0160063	12459500
0.0159454	12458400
0.0159374	12444500
0.0159172	12401000
0.0159157	12365900
0.0156648	12362400
0.0155347	12326500
0.0155334	12304200
0.0154601	12286900
0.0154252	12276600
0.0154166	12203200
0.0154099	12189300
0.015317	12186100
0.0153015	12177700
0.0151514	12139300
0.0151488	12096700
0.0150574	12089300
0.0150303	12083700
0.015023	12057100
0.0150164	12015000
0.0150123	12014600
0.0149918	12004500
0.0149752	11997100
0.0149088	11961400
0.0148882	11959100
0.0148655	11932200
0.0148645	11925700
0.0148478	11919300
0.0148244	11908200
0.0147856	11886500
0.0147232	11841600
0.0146913	11834100
0.0146437	11831100
0.0145887	11811500
0.0144569	11781000
0.0143716	11757400
0.0142985	11667100
0.0142668	11645400
0.0141878	11614500
0.0141171	11586000
0.013885	11567800
0.0137628	11564200
0.0137334	11544700
0.0136126	11456600
0.0135812	11429400
0.0135326	11409600
0.0133872	11408000
0.0133387	11385100
0.0133065	11364500
0.0132976	11361900
0.013296	11342100
0.0132631	11289400
0.0131929	11278500
0.0131583	11155600
0.0130879	11133200
0.0130528	11108000
0.0129055	11066600
0.0128263	11015500
0.0127683	10884300
0.0126688	10851500
0.01266	10847700
0.0126425	10804100
0.0125956	10765100
0.0125818	10762700
0.0125757	10700500
0.0125595	10696400
0.0125469	10664800
0.0124867	10646000
0.0124858	10617500
0.0124801	10601800
0.0124754	10576500
0.0124691	10563600
0.0124427	10520600
0.0124022	10514800
0.0123923	10495000
0.0123726	10483600
0.0123376	10459700
0.0123129	10459500
0.0123098	10409300
0.0123004	10361600
0.0122314	10329300
0.0121376	10316100
0.0121008	10313700
0.0120947	10312300
0.012028	10280800
0.0119843	10267700
0.0119734	10225400
0.0119463	10222200
0.0118174	10196300
0.0118109	10172900
0.0117662	10172500
0.0117148	10160600
0.0116904	10124900
0.0116314	10047600
0.0116101	9932110
0.0115843	9925210
0.011581	9839300
0.0115787	9795970
0.0115617	9785510
0.0115229	9781110
0.011484	9778200
0.0113048	9769180
0.0112635	9754210
0.011252	9735230
0.0112418	9684900
0.0111838	9673260
0.0111758	9639990
0.011174	9628700
0.0111606	9626060
0.011153	9622560
0.0111373	9602430
0.0111324	9594680
0.0110919	9593320
0.011089	9565940
0.0110844	9517260
0.0110753	9482220
0.0110443	9451780
0.011013	9444490
0.0110067	9395800
0.0109914	9320260
0.0109751	9283470
0.0109506	9264510
0.0109306	9224430
0.0109263	9213840
0.0109148	9205520
0.010908	9185190
